NAME,PARTIES
JANNONE Giorgio,POPOLO DELLA LIBERTA'
LABOCCETTA Amedeo,POPOLO DELLA LIBERTA'
LAFFRANCO Pietro,POPOLO DELLA LIBERTA'
LA FORGIA Antonio,PARTITO DEMOCRATICO
LAGANA' FORTUGNO Maria Grazia,MISTO
LAINATI Giorgio,POPOLO DELLA LIBERTA'
LA LOGGIA Enrico,POPOLO DELLA LIBERTA'
LA MALFA Giorgio,MISTO
LAMORTE Donato,FUTURO E LIBERTA' PER IL TERZO POLO
LANDOLFI Mario,POPOLO DELLA LIBERTA'
LANZARIN Manuela,LEGA NORD PADANIA
LANZILLOTTA Linda,MISTO
LARATTA Francesco,PARTITO DEMOCRATICO
LA RUSSA Ignazio,POPOLO DELLA LIBERTA'
LATTERI Ferdinando,MISTO
LAZZARI Luigi,POPOLO DELLA LIBERTA'
LEANZA Nicola,MISTO
LEHNER Giancarlo,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
LENZI Donata,PARTITO DEMOCRATICO
LEO Maurizio,POPOLO DELLA LIBERTA'
LEONE Antonio,POPOLO DELLA LIBERTA'
LETTA Enrico,PARTITO DEMOCRATICO
LEVI Ricardo Franco,PARTITO DEMOCRATICO
LIBE' Mauro,UNIONE DI CENTRO PER IL TERZO POLO
LISI Ugo,POPOLO DELLA LIBERTA'
LOLLI Giovanni,PARTITO DEMOCRATICO
LOMBARDO Angelo Salvatore,MISTO
LOMBARDO Raffaele,
LO MONTE Carmelo,MISTO
LO MORO Doris,PARTITO DEMOCRATICO
LO PRESTI Antonino,FUTURO E LIBERTA' PER IL TERZO POLO
LORENZIN Beatrice,POPOLO DELLA LIBERTA'
LOSACCO Alberto,PARTITO DEMOCRATICO
LOVELLI Mario,PARTITO DEMOCRATICO
LUCA' Mimmo,PARTITO DEMOCRATICO
LUCCHESE Francesco Paolo,MISTO
LULLI Andrea,PARTITO DEMOCRATICO
LUNARDI Pietro,POPOLO DELLA LIBERTA'
LUONGO Antonio,PARTITO DEMOCRATICO
LUPI Maurizio,POPOLO DELLA LIBERTA'
LUSETTI Renzo,UNIONE DI CENTRO PER IL TERZO POLO
LUSSANA Carolina,LEGA NORD PADANIA
MACCANTI Elena,LEGA NORD PADANIA
MADIA Maria Anna,PARTITO DEMOCRATICO
MAGGIONI Marco,LEGA NORD PADANIA
MALGIERI Gennaro,POPOLO DELLA LIBERTA'
MANCUSO Gianni,POPOLO DELLA LIBERTA'
MANNINO Calogero,MISTO
MANNUCCI Barbara,POPOLO DELLA LIBERTA'
MANTINI Pierluigi,UNIONE DI CENTRO PER IL TERZO POLO
MANTOVANO Alfredo,POPOLO DELLA LIBERTA'
MARAN Alessandro,MISTO
MARANTELLI Daniele,PARTITO DEMOCRATICO
MARCAZZAN Pietro,UNIONE DI CENTRO PER IL TERZO POLO
MARCHI Maino,PARTITO DEMOCRATICO
MARCHIGNOLI Massimo,PARTITO DEMOCRATICO
MARCHIONI Elisa,PARTITO DEMOCRATICO
